type,question,option1,option2,option3,option4,correctOption
multiple-choice,Siapa yang menemukan teori relativitas?,Albert Einstein,Isaac Newton,Nikola Tesla,Galileo Galilei,A
multiple-choice,Apa ibu kota Indonesia?,Jakarta,Surabaya,Bandung,Yogyakarta,A
multiple-choice,Berapa jumlah provinsi di Indonesia?,34,33,32,31,A
multiple-choice,Siapa Presiden pertama Indonesia?,Soekarno,Soeharto,B.J. Habibie,Abdurrahman Wahid,A
multiple-choice,Apa warna bendera Jepang?,Merah Putih,Merah,Putih,Hijau,Biru,B
multiple-choice,Siapa penulis "Harry Potter"?,J.K. Rowling,George R.R. Martin,John Green,J.R.R. Tolkien,A
multiple-choice,Apa bahasa resmi Brasil?,Portugis,Spanyol,Prancis,Italia,A
multiple-choice,Di mana Menara Eiffel berada?,Paris,London,New York,Tokyo,A
multiple-choice,Berapa banyak sisi pada segitiga?,3,4,5,6,A
multiple-choice,Siapa yang menemukan listrik?,Thomas Edison,Nikola Tesla,Michael Faraday,Alexander Graham Bell,B
multiple-choice,Apa ibukota Inggris?,London,Paris,New York,Tokyo,A
multiple-choice,Siapa penemu telepon?,Alexander Graham Bell,Thomas Edison,Nikola Tesla,Michael Faraday,A
multiple-choice,Berapa jumlah negara di dunia?,195,190,200,210,A
multiple-choice,Apa nama gunung tertinggi di dunia?,Everest,Kilimanjaro,K2,Fuji,A
multiple-choice,Siapa penulis "Laskar Pelangi"?,Andrea Hirata,Pramoedya Ananta Toer,Habiburrahman El Shirazy,Chairil Anwar,A
multiple-choice,Di mana terletak Candi Borobudur?,Indonesia,India,Thailand,Kamboja,A
multiple-choice,Apa yang dimaksud dengan fotosintesis?,Proses tanaman membuat makanan dari cahaya matahari,Proses tanaman tumbuh,Proses tanaman menyerap air,Proses tanaman berbunga,A
multiple-choice,Siapa yang menulis "Bumi Manusia"?,Pramoedya Ananta Toer,Andrea Hirata,Ahmad Tohari,Sutan Takdir Alisyahbana,A
multiple-choice,Berapa jumlah anggota PBB?,193,190,200,210,A
multiple-choice,Siapa yang menciptakan komputer?,Charles Babbage,Alan Turing,Steve Jobs,Bill Gates,A
multiple-choice,Di manakah Taj Mahal berada?,India,Indonesia,Mesir,Arab Saudi,A
multiple-choice,Apa mata uang Jepang?,Yen,Won,Dolar,Euro,A
multiple-choice,Siapa penemu mesin uap?,James Watt,Thomas Edison,Nikola Tesla,Isaac Newton,A
multiple-choice,Apa bahasa resmi Kanada?,Inggris dan Prancis,Inggris,Jerman,Spanyol,A
multiple-choice,Siapa yang menemukan mesin cetak?,Johannes Gutenberg,Alexander Graham Bell,Leonardo da Vinci,Thomas Edison,A
multiple-choice,Berapa banyak planet di tata surya?,8,9,7,6,A
multiple-choice,Apa itu demokrasi?,Sistem pemerintahan dari rakyat untuk rakyat,Sistem pemerintahan militer,Sistem pemerintahan monarki,Sistem pemerintahan otoriter,A
multiple-choice,Siapa penulis "The Catcher in the Rye"?,J.D. Salinger,George Orwell,Ernest Hemingway,F. Scott Fitzgerald,A
multiple-choice,Di mana terletak Great Wall of China?,China,India,Korea,Japan,A
multiple-choice,Berapa jumlah provinsi di Amerika Serikat?,50,51,52,53,A
multiple-choice,Siapa pencipta Facebook?,Mark Zuckerberg,Jack Dorsey,Jeff Bezos,Elon Musk,A
multiple-choice,Di mana terletak piramida Giza?,Mesir,Irak,Peru,India,A
multiple-choice,Siapa penulis "Pride and Prejudice"?,Jane Austen,Charlotte BrontÃ«,Emily Dickinson,Virginia Woolf,A
multiple-choice,Siapa yang menulis "Kita"?,Putu Wijaya,Pramoedya Ananta Toer,Habiburrahman El Shirazy,Chairil Anwar,A
multiple-choice,Siapa yang menciptakan teori evolusi?,Charles Darwin,Isaac Newton,Albert Einstein,Nikola Tesla,A
multiple-choice,Apa bahasa resmi di China?,Mandarin,Inggris,Prancis,Spanyol,A
multiple-choice,Siapa yang menulis "To Kill a Mockingbird"?,Harper Lee,John Steinbeck,Mark Twain,Ernest Hemingway,A
multiple-choice,Di mana terletak negara Sphinx?,Mesir,Indonesia,India,Jepang,A
multiple-choice,Siapa penulis "1984"?,George Orwell,Ray Bradbury,William Golding,Aldous Huxley,A
multiple-choice,Siapa penemu lampu pijar?,Thomas Edison,Alexander Graham Bell,Nikola Tesla,Michael Faraday,A
multiple-choice,Siapa yang menciptakan Internet?,Tim Berners-Lee,Mark Zuckerberg,Steve Jobs,Bill Gates,A
multiple-choice,Di mana terletak Pulau Bali?,Indonesia,Philippines,Thailand,Malaysia,A
multiple-choice,Siapa penemu radio?,Guglielmo Marconi,Thomas Edison,Alexander Graham Bell,Nikola Tesla,A
multiple-choice,Di mana Menara Pisa berada?,Italia,Spanyol,Prancis,Jerman,A
multiple-choice,Siapa penemu pesawat terbang?,Wright Bersaudara,Charles Lindbergh,Amelia Earhart,Howard Hughes,A
multiple-choice,Apa nama ibukota Kanada?,Ottawa,Toronto,Montreal,Vancouver,A
multiple-choice,Siapa penulis "Mencari Tuhan di Rumah"?,Taufiqurrahman al-Azizy,Agus M. Iqbal,Abdul Hadi,Ahmad Tohari,A
multiple-choice,Siapa pencipta teori relativitas?,Albert Einstein,Isaac Newton,Stephen Hawking,Nikola Tesla,A
multiple-choice,Siapa yang menulis "The Hobbit"?,J.R.R. Tolkien,George R.R. Martin,C.S. Lewis,J.K. Rowling,A
multiple-choice,Di mana terdapat Patung Liberty?,Amerika Serikat,Prancis,Italia,Spanyol,A
